# Test bug, using GLSL 4.20 on a 3.3 context.
# Broken in VK-GL-CTS e5c45899ed7e90fb616ccd1d3c66e6eded120684
spec@glsl-1.50@execution@compatibility@gs-clamp-vertex-color,Fail
spec@glsl-1.50@execution@compatibility@gs-ff-frag,Fail

spec@glsl-1.50@execution@compatibility@gs-texcoord-array-2,Fail
spec@glsl-1.50@execution@compatibility@gs-texcoord-array,Fail

# "ir3_nir_lower_tess.c:111: shader_io_get_unique_index: Assertion `!"illegal slot in get unique index\n"' failed."
# I think on VARYING_SLOT_COL0 from the VS.
spec@glsl-1.50@execution@compatibility@vs-gs-ff-frag,Crash
spec@glsl-1.50@execution@compatibility@vs-gs-texcoord-array-2,Crash
spec@glsl-1.50@execution@compatibility@vs-gs-texcoord-array,Crash

spec@glsl-1.50@execution@geometry@end-primitive 0,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_loop ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_loop other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_lines_adjacency ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_lines_adjacency other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_lines ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_lines other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_strip_adjacency ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_strip_adjacency other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_strip ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_line_strip other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_points ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_points other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_fan ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_fan other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangles_adjacency ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangles_adjacency other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangles ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangles other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_strip_adjacency ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_strip_adjacency other,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_strip ffs,Fail
spec@glsl-1.50@execution@geometry@primitive-id-restart gl_triangle_strip other,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_line_loop,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_lines_adjacency,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_lines,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_line_strip_adjacency,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_line_strip,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_points,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_triangle_fan,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_triangles_adjacency,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_triangles,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_triangle_strip_adjacency,Fail
spec@glsl-1.50@execution@geometry@primitive-types gl_triangle_strip,Fail
spec@glsl-1.50@execution@geometry@tri-strip-ordering-with-prim-restart gl_triangle_strip_adjacency ffs,Fail
spec@glsl-1.50@execution@geometry@tri-strip-ordering-with-prim-restart gl_triangle_strip_adjacency other,Fail
spec@glsl-1.50@execution@geometry@tri-strip-ordering-with-prim-restart gl_triangle_strip ffs,Fail
spec@glsl-1.50@execution@geometry@tri-strip-ordering-with-prim-restart gl_triangle_strip other,Fail
spec@glsl-1.50@execution@primitive-id-no-gs-quads,Fail
spec@glsl-1.50@execution@primitive-id-no-gs-quad-strip,Fail

# "ir3_shader.h:923:ir3_link_add: Assertion `i < ARRAY_SIZE(l->var)' failed"
spec@glsl-1.50@execution@variable-indexing@gs-output-array-vec4-index-wr,Crash

spec@glsl-1.50@gs-max-output-components,Fail
spec@intel_performance_query@intel_performance_query-issue_2235,Fail
spec@khr_texture_compression_astc@array-gl@12x12 Block Dim,Fail
spec@khr_texture_compression_astc@array-gl@5x5 Block Dim,Fail
spec@khr_texture_compression_astc@array-gles@12x12 Block Dim,Fail
spec@khr_texture_compression_astc@array-gles@5x5 Block Dim,Fail
spec@khr_texture_compression_astc@array-gles,Fail
spec@khr_texture_compression_astc@array-gl,Fail
spec@khr_texture_compression_astc@miptree-gles hdr,Fail
spec@khr_texture_compression_astc@miptree-gles hdr@HDR Profile,Fail
spec@khr_texture_compression_astc@miptree-gles ldr,Fail
spec@khr_texture_compression_astc@miptree-gles ldr@LDR Profile,Fail
spec@khr_texture_compression_astc@miptree-gles srgb,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-fp,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-fp@sRGB decode full precision,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-sd,Fail
spec@khr_texture_compression_astc@miptree-gles srgb-sd@sRGB skip decode,Fail
spec@khr_texture_compression_astc@miptree-gles srgb@sRGB decode,Fail
spec@khr_texture_compression_astc@miptree-gl hdr,Fail
spec@khr_texture_compression_astc@miptree-gl hdr@HDR Profile,Fail
spec@khr_texture_compression_astc@miptree-gl ldr,Fail
spec@khr_texture_compression_astc@miptree-gl ldr@LDR Profile,Fail
spec@khr_texture_compression_astc@miptree-gl srgb,Fail
spec@khr_texture_compression_astc@miptree-gl srgb-fp,Fail
spec@khr_texture_compression_astc@miptree-gl srgb-fp@sRGB decode full precision,Fail
spec@khr_texture_compression_astc@miptree-gl srgb-sd,Fail
spec@khr_texture_compression_astc@miptree-gl srgb-sd@sRGB skip decode,Fail
spec@khr_texture_compression_astc@miptree-gl srgb@sRGB decode,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles hdr,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles hdr@HDR Profile,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles ldr,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles ldr@LDR Profile,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb-fp,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb-fp@sRGB decode full precision,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gles srgb@sRGB decode,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl hdr,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl hdr@HDR Profile,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl ldr,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl ldr@LDR Profile,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl srgb,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl srgb-fp,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl srgb-fp@sRGB decode full precision,Fail
spec@khr_texture_compression_astc@sliced-3d-miptree-gl srgb@sRGB decode,Fail

spec@oes_egl_image_external_essl3@oes_egl_image_external_essl3@oes_egl_image_external_essl3_imageLoad,Fail
spec@oes_egl_image_external_essl3@oes_egl_image_external_essl3@oes_egl_image_external_essl3_imageStore,Fail
spec@oes_egl_image_external_essl3@oes_egl_image_external_essl3,Fail

# "MESA: error: unknown vertex shader output name: VARYING_SLOT_EDGE
#  gl-2.0-edgeflag: ../src/freedreno/ir3/ir3_context.c:411: ir3_context_error: Assertion `!""' failed."
spec@!opengl 1.0@gl-1.0-edgeflag,Crash
spec@!opengl 1.0@gl-1.0-edgeflag-quads,Crash

# "Failure with Polygon Stipple set to fail mode."
spec@!opengl 1.0@gl-1.0-no-op-paths,Fail

spec@!opengl 1.0@gl-1.0-scissor-offscreen,Fail
spec@!opengl 1.0@gl-1.0-spot-light,Fail

# crash in tgsi exec doing st_freedback_draw_vbo().
spec@!opengl 1.0@rasterpos,Crash

spec@!opengl 1.1@linestipple@Factor 2x,Fail
spec@!opengl 1.1@linestipple@Factor 3x,Fail
spec@!opengl 1.1@linestipple,Fail
spec@!opengl 1.1@linestipple@Line loop,Fail
spec@!opengl 1.1@linestipple@Line strip,Fail
spec@!opengl 1.1@linestipple@Restarting lines within a single Begin-End block,Fail
spec@!opengl 1.1@polygon-mode-facing,Fail
spec@!opengl 1.1@polygon-mode,Fail
spec@!opengl 1.1@polygon-mode-offset@config 0: Expected white pixel on bottom edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 0: Expected white pixel on left edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 0: Expected white pixel on right edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 0: Expected white pixel on top edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 1: Expected blue pixel in center,Fail
spec@!opengl 1.1@polygon-mode-offset@config 2: Expected blue pixel in center,Fail
spec@!opengl 1.1@polygon-mode-offset@config 2: Expected white pixel on right edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 2: Expected white pixel on top edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 5: Expected blue pixel in center,Fail
spec@!opengl 1.1@polygon-mode-offset@config 6: Expected blue pixel in center,Fail
spec@!opengl 1.1@polygon-mode-offset@config 6: Expected white pixel on right edge,Fail
spec@!opengl 1.1@polygon-mode-offset@config 6: Expected white pixel on top edge,Fail
spec@!opengl 1.1@polygon-mode-offset,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_R3_G3_B2- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB10_A2- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB10- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB12- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB16- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB4- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB5_A1- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB5- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGB8- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGBA12- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGBA16- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGBA2- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGBA4- swizzled- border color only,Fail
spec@!opengl 1.1@texwrap formats bordercolor-swizzled@GL_RGBA8- swizzled- border color only,Fail
spec@!opengl 1.4@gl-1.4-polygon-offset,Fail

# "MESA: error: unknown vertex shader output name: VARYING_SLOT_EDGE
#  gl-2.0-edgeflag: ../src/freedreno/ir3/ir3_context.c:411: ir3_context_error: Assertion `!""' failed."
spec@!opengl 2.0@gl-2.0-edgeflag,Crash
spec@!opengl 2.0@gl-2.0-edgeflag-immediate,Crash

# "src/freedreno/ir3/ir3_nir_lower_tess.c:111: shader_io_get_unique_index: Assertion `!"illegal slot in get unique index\n"'"
spec@!opengl 2.0@vertex-program-two-side back back2,Crash

spec@!opengl 2.0@vertex-program-two-side back front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side back front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side back front2,Fail
spec@!opengl 2.0@vertex-program-two-side back front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side back,Crash
spec@!opengl 2.0@vertex-program-two-side back2,Crash
spec@!opengl 2.0@vertex-program-two-side enabled back back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back front2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back front2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front front2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front2,Fail
spec@!opengl 2.0@vertex-program-two-side enabled front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front back back2,Fail
spec@!opengl 2.0@vertex-program-two-side front back back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front back front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side front back front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front back front2,Fail
spec@!opengl 2.0@vertex-program-two-side front back front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front back,Fail
spec@!opengl 2.0@vertex-program-two-side front back@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front back2,Fail
spec@!opengl 2.0@vertex-program-two-side front back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side front front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front front2,Fail
spec@!opengl 2.0@vertex-program-two-side front front2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front,Fail
spec@!opengl 2.0@vertex-program-two-side front@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front2 back2,Fail
spec@!opengl 2.0@vertex-program-two-side front2 back2@gs-out and fs,Fail
spec@!opengl 2.0@vertex-program-two-side front2,Fail
spec@!opengl 2.0@vertex-program-two-side front2@gs-out and fs,Fail

spec@!opengl 2.1@pbo,Fail
spec@!opengl 2.1@pbo@test_polygon_stip,Fail
spec@!opengl 2.1@polygon-stipple-fs,Fail
spec@!opengl 3.0@clearbuffer-depth-cs-probe,Timeout
spec@!opengl 3.1@primitive-restart-xfb generated,Fail
spec@!opengl 3.2@gl-3.2-adj-prims cull-back pv-first,Fail
spec@!opengl 3.2@gl-3.2-adj-prims cull-front pv-first,Fail
spec@!opengl 3.2@gl-3.2-adj-prims line cull-back pv-first,Fail
spec@!opengl 3.2@gl-3.2-adj-prims line cull-front pv-first,Fail
spec@!opengl 3.2@gl-3.2-adj-prims pv-first,Fail

spec@!opengl 1.0@depth-clear-precision-check,Fail
spec@!opengl 1.0@depth-clear-precision-check@depth24,Fail
spec@!opengl 1.0@depth-clear-precision-check@depth24_stencil8,Fail
spec@!opengl 1.0@depth-clear-precision-check@depth32,Fail
spec@arb_texture_buffer_object@texture-buffer-size-clamp,Fail

# VK-GL-CTS 1.3.2.0 uprev
dEQP-VK.api.buffer.dedicated_alloc.transfer_dst.uniform_texel.storage_texel.uniform.index.vertex.indirect.create.zero,Fail
dEQP-VK.api.buffer.suballocation.transfer_dst.uniform.index.create.binding_residency_aliased,Fail
dEQP-VK.api.buffer.suballocation.transfer_src.uniform_texel.uniform.storage.index.create.binding_residency_aliased,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.1d.etc2_r8g8b8a8_srgb_block.etc2_r8g8b8a8_srgb_block.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.1d.r32g32b32_uint.r32g32b32_uint.linear_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.2d.a8b8g8r8_srgb_pack32.a8b8g8r8_srgb_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.2d.r4g4_unorm_pack8.b8g8r8_snorm.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r16g16_uscaled.r16g16_uscaled.general_general_linear_stripes_x,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r16g16b16_sint.r16g16b16_sint.general_general_linear_stripes_z,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.color.3d.r8_srgb.r8_srgb.linear_optimal_linear_stripes_x,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_1.b8g8r8_unorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.all_formats.generate_mipmaps.from_previous_level.layercount_6.r8g8b8_unorm.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.blit_image.simple_tests.mirror_y.b8g8r8a8_unorm_nearest,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.depth_stencil_msaa_copy.whole.d32_sfloat_general_optimal_D_32_bit,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.image_to_image.all_formats.color.2d.a2r10g10b10_uint_pack32.r32_sfloat.optimal_general,Fail
dEQP-VK.api.copy_and_blit.copy_commands2.image_to_image.all_formats.color.2d.r4g4_unorm_pack8.r8_snorm.optimal_general,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.1d.a8b8g8r8_snorm_pack32.a8b8g8r8_snorm_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a1r5g5b5_unorm_pack16.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_snorm_pack32.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_sscaled_pack32.b10g11r11_ufloat_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_unorm_pack32.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2b10g10r10_uscaled_pack32.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2r10g10b10_snorm_pack32.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a2r10g10b10_uscaled_pack32.b8g8r8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a4b4g4r4_unorm_pack16.r16_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a4r4g4b4_unorm_pack16.a2r10g10b10_uscaled_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.a8b8g8r8_unorm_pack32.r8g8_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x10_unorm_block.r8g8b8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x5_srgb_block.astc_10x5_srgb_block.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x6_unorm_block.r8g8_unorm.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_10x8_unorm_block.r8g8b8_sscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_12x12_unorm_block.a2b10g10r10_unorm_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_5x5_unorm_block.a2b10g10r10_sscaled_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.astc_8x5_unorm_block.r16g16b16a16_sfloat.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b4g4r4a4_unorm_pack16.r5g5b5a1_unorm_pack16.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b5g5r5a1_unorm_pack16.a2r10g10b10_uscaled_pack32.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b5g6r5_unorm_pack16.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8_sint.r8g8_sint.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8_unorm.a8b8g8r8_uscaled_pack32.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8_uscaled.r16g16_snorm.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8a8_snorm.b10g11r11_ufloat_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.b8g8r8a8_srgb.r8g8_srgb.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc1_rgb_unorm_block.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc1_rgba_unorm_block.r32g32b32a32_sfloat.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc4_unorm_block.r8_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc5_snorm_block.b8g8r8a8_sscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc5_unorm_block.r8g8b8a8_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.bc6h_ufloat_block.a2r10g10b10_uscaled_pack32.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.eac_r11_snorm_block.a1r5g5b5_unorm_pack16.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8_unorm_block.r16g16b16a16_unorm.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8a1_unorm_block.r32g32_sfloat.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.etc2_r8g8b8a8_srgb_block.b8g8r8a8_srgb.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r10x6g10x6b10x6a10x6_unorm_4pack16.r16g16b16_unorm.optimal_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16_sfloat.r8g8b8_sscaled.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16_snorm.r5g5b5a1_unorm_pack16.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16_sscaled.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16_uscaled.r8g8_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16_sfloat.a8b8g8r8_uscaled_pack32.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16_sscaled.r8g8b8a8_snorm.general_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16_unorm.r4g4b4a4_unorm_pack16.linear_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16_sscaled.b8g8r8a8_snorm.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16_uscaled.b8g8r8_uscaled.optimal_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16a16_sfloat.r5g5b5a1_unorm_pack16.general_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16a16_snorm.r16g16b16a16_uscaled.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16a16_uint.r8_uint.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16a16_unorm.b5g5r5a1_unorm_pack16.optimal_linear_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r16g16b16a16_unorm.r16g16b16a16_unorm.optimal_linear_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r32_sfloat.r16g16b16a16_uscaled.general_general_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r32_sfloat.r8_snorm.optimal_optimal_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r32g32_sfloat.r32_sfloat.linear_general_linear,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r32g32b32_sfloat.r16g16_unorm.optimal_general_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r4g4_unorm_pack8.a2b10g10r10_snorm_pack32.optimal_linear_cubic,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r4g4b4a4_unorm_pack16.b8g8r8_uscaled.general_optimal_nearest,Fail
dEQP-VK.api.copy_and_blit.core.blit_image.all_formats.color.2d.r5g6b5_unorm_pack16.r8g8_uscaled.optimal_optimal_cubic,Fail
